host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
63970,2009-12-17,"New York, New York, United States",within an hour,1.0,0.89,t,0.0,t,t
64442,2009-12-19,"New York, New York, United States",within an hour,0.9,0.96,t,2.0,t,t
64522,2009-12-20,"New York, New York, United States",within an hour,1.0,0.89,f,1.0,t,t
65610,2009-12-25,"Brooklyn, New York, United States",within a few hours,1.0,0.67,f,2.0,t,t
65837,2009-12-26,"New York, New York, United States",within a few hours,1.0,1.0,t,1.0,t,t
66035,2009-12-27,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
66276,2009-12-28,"Brooklyn, New York, United States",within a few hours,0.9,0.6,f,1.0,t,t
67523,2010-01-04,"New York, New York, United States",within a few hours,1.0,0.74,t,2.0,t,t
67778,2010-01-04,"New York, New York, United States",within an hour,1.0,1.0,t,3.0,t,t
69527,2010-01-11,"New York, New York, United States",within an hour,1.0,0.86,t,1.0,t,f
70091,2010-01-12,"New York, New York, United States",within a few hours,1.0,0.55,t,2.0,t,f
71876,2010-01-20,"New York, New York, United States",within a few hours,1.0,1.0,t,1.0,t,t
73549,2010-01-25,"New York, New York, United States",within an hour,0.9,0.75,f,1.0,t,t
74777,2010-01-28,"Longmont, Colorado, United States",within an hour,1.0,0.86,t,4.0,t,t
74857,2010-01-29,"New York, New York, United States",a few days or more,0.0,0.0,f,1.0,t,t
75857,2010-01-31,"New York, New York, United States",within a few hours,1.0,0.9,t,1.0,t,t
78353,2010-02-06,"New York, New York, United States",within a day,1.0,0.89,t,3.0,t,f
81335,2010-02-15,"New York, New York, United States",within a day,0.8,0.68,f,2.0,t,t
82277,2010-02-17,"Brooklyn, New York, United States",within an hour,1.0,0.97,t,0.0,t,t
82930,2010-02-19,"Brooklyn, New York, United States",within an hour,1.0,0.9,t,2.0,t,t
85330,2010-02-25,"Queens, New York, United States",within an hour,1.0,0.98,t,4.0,t,t
87105,2010-03-01,"New York, New York, United States",within a few hours,1.0,1.0,f,2.0,t,t
87473,2010-03-02,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
87773,2010-03-03,"New York, New York, United States",within a few hours,1.0,0.5,f,2.0,t,t
91957,2010-03-12,"New York, New York, United States",within a few hours,1.0,0.75,f,2.0,t,f
92411,2010-03-13,"New York, New York, United States",a few days or more,0.0,1.0,f,2.0,t,t
92788,2010-03-14,"San Miguel de Allende, Guanajuato, Mexico",within an hour,1.0,1.0,f,1.0,t,t
93790,2010-03-15,"New York, New York, United States",within an hour,1.0,0.96,t,2.0,t,t
94669,2010-03-16,"Brooklyn, New York, United States",within an hour,1.0,0.62,t,2.0,t,t
96755,2010-03-21,"New York, New York, United States",within a few hours,1.0,0.5,f,1.0,t,t
101597,2010-03-31,"Stockholm, Stockholm, Sweden",within a few hours,1.0,0.9,t,1.0,t,t
104458,2010-04-06,"New York, New York, United States",within a few hours,1.0,0.94,t,1.0,t,t
107016,2010-04-11,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
107243,2010-04-12,"New York, New York, United States",within an hour,1.0,1.0,f,0.0,t,f
107628,2010-04-12,"New York, New York, United States",within a few hours,1.0,1.0,f,1.0,t,t
109738,2010-04-17,"Philadelphia, Pennsylvania, United States",within an hour,1.0,0.9,f,1.0,t,t
109981,2010-04-17,"New York, New York, United States",within an hour,1.0,0.64,f,2.0,t,t
111466,2010-04-20,"New York, New York, United States",within a day,0.9,0.55,f,1.0,t,t
113919,2010-04-26,"Brooklyn, New York, United States",within a few hours,1.0,0.44,f,3.0,t,t
115307,2010-04-29,"New York, New York, United States",within a day,1.0,1.0,f,1.0,t,t
116382,2010-05-01,"New York, New York, United States",within an hour,1.0,0.79,f,7.0,t,t
116599,2010-05-01,"New York, New York, United States",within a day,1.0,0.2,f,4.0,t,t
117287,2010-05-02,"New York, New York, United States",within an hour,1.0,0.75,t,3.0,t,t
117949,2010-05-03,"New York, New York, United States",within an hour,1.0,0.78,f,1.0,t,t
119441,2010-05-06,"New York, New York, United States",within a day,1.0,0.56,f,3.0,t,t
119588,2010-05-06,"New York, United States",within an hour,1.0,0.78,f,2.0,t,t
124357,2010-05-13,"New York, New York, United States",within a few hours,0.95,0.69,f,3.0,t,t
125857,2010-05-16,"New York, New York, United States",within a few hours,1.0,0.75,f,1.0,t,t
127292,2010-05-18,"New York, New York, United States",within an hour,1.0,0.88,t,1.0,t,t
127608,2010-05-18,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
128669,2010-05-20,"New York, New York, United States",within a few hours,1.0,0.5,f,11.0,t,f
128890,2010-05-20,"New York, New York, United States",within a day,1.0,0.82,t,1.0,t,t
129123,2010-05-21,"San Diego, California, United States",within an hour,1.0,0.49,f,7.0,t,t
130675,2010-05-24,"New York, New York, United States",within a few hours,1.0,1.0,t,1.0,t,t
130901,2010-05-24,"New York, New York, United States",within an hour,1.0,0.78,t,1.0,t,t
131914,2010-05-25,"Newburgh, New York, United States",within a few hours,1.0,0.86,f,1.0,t,t
132132,2010-05-25,"New York, New York, United States",within an hour,1.0,1.0,f,3.0,t,t
136227,2010-06-01,"New York, New York, United States",within a day,1.0,0.96,f,1.0,t,t
137814,2010-06-03,"New York, New York, United States",within an hour,1.0,0.99,f,3.0,t,t
137974,2010-06-03,"Brooklyn, New York, United States",within a day,1.0,0.95,t,3.0,t,t
141300,2010-06-09,"New York, New York, United States",within a few hours,1.0,1.0,f,1.0,t,t
141914,2010-06-10,"New York, New York, United States",within a day,1.0,0.0,f,2.0,t,t
141933,2010-06-10,"Brooklyn, NY",within an hour,1.0,0.96,f,1.0,t,t
143027,2010-06-12,"New York, New York, United States",within a day,1.0,1.0,t,1.0,t,t
143048,2010-06-12,"New York, New York, United States",a few days or more,0.4,0.17,f,2.0,t,t
143460,2010-06-13,"Brooklyn, New York, United States",within an hour,0.9,0.75,f,3.0,t,t
143476,2010-06-13,"New York, New York, United States",within a day,0.83,0.7,f,3.0,t,t
148108,2010-06-20,"New York, New York, United States",a few days or more,0.2,0.56,f,1.0,t,t
149929,2010-06-22,"New York, New York, United States",within an hour,1.0,0.94,t,5.0,t,t
155297,2010-06-29,"Waukee, Iowa, United States",within a day,1.0,0.8,f,0.0,t,f
156734,2010-07-02,"New York, New York, United States",within an hour,1.0,0.75,f,0.0,t,t
156935,2010-07-02,"New York, New York, United States",within an hour,1.0,0.7,t,2.0,t,t
157241,2010-07-02,"New York, New York, United States",within a few hours,1.0,1.0,f,1.0,t,t
160356,2010-07-07,"New York, New York, United States",within an hour,1.0,1.0,t,2.0,t,t
164781,2010-07-12,"New York, New York, United States",within an hour,1.0,0.5,t,2.0,t,t
166634,2010-07-14,"New York, New York, United States",within an hour,1.0,0.97,f,5.0,t,t
168417,2010-07-16,"New York, New York, United States",within a few hours,1.0,1.0,f,2.0,t,t
168525,2010-07-16,"New York, New York, United States",within an hour,1.0,0.97,f,2.0,t,t
171250,2010-07-18,"Los Angeles, California, United States",within a day,1.0,0.0,f,1.0,t,t
172672,2010-07-19,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
172741,2010-07-19,"New York, New York, United States",within a day,0.71,0.43,f,1.0,t,t
173218,2010-07-19,"New York, New York, United States",within a few hours,0.91,0.78,t,2.0,t,t
173729,2010-07-19,United States,within a few hours,0.83,0.88,f,1.0,t,t
176836,2010-07-21,"New York, New York, United States",a few days or more,0.0,1.0,f,1.0,t,t
177233,2010-07-22,"New York, New York, United States",within an hour,1.0,0.7,t,1.0,t,t
177846,2010-07-22,"New York, New York, United States",within an hour,1.0,0.87,f,2.0,t,t
177922,2010-07-22,"New York, New York, United States",within an hour,1.0,0.0,f,1.0,t,t
179296,2010-07-24,"New York, New York, United States",within an hour,1.0,0.67,t,1.0,t,f
181581,2010-07-26,"New York, New York, United States",within an hour,1.0,0.6,f,1.0,t,t
181756,2010-07-26,"New York, New York, United States",within a few hours,1.0,0.75,t,1.0,t,t
182670,2010-07-27,"London, England, United Kingdom",within an hour,1.0,1.0,f,7.0,t,t
183504,2010-07-28,"New York, New York, United States",within a day,1.0,0.25,t,1.0,t,f
184755,2010-07-29,"New York, New York, United States",within a day,1.0,0.5,f,0.0,t,f
185364,2010-07-30,"New York, New York, United States",within an hour,1.0,0.67,f,1.0,t,t
185446,2010-07-30,"New York, New York, United States",within an hour,1.0,1.0,f,0.0,t,f
185745,2010-07-30,"Italy, New York, United States",within a few hours,1.0,0.0,f,3.0,t,t
185978,2010-07-30,"New York, New York, United States",within a day,1.0,0.0,t,1.0,t,t
186084,2010-07-30,"New York, New York, United States",within a few hours,0.9,0.38,f,0.0,t,t
188896,2010-08-02,"Brooklyn, New York, United States",within a day,0.9,0.92,f,2.0,t,f
190239,2010-08-03,"Brooklyn, NY",within an hour,1.0,0.92,t,1.0,t,t
191091,2010-08-04,"New York, New York, United States",within an hour,1.0,0.72,t,2.0,t,t
193637,2010-08-06,"New York, New York, United States",within a day,0.6,0.33,f,3.0,t,t
194719,2010-08-08,"New York, New York, United States",within a few hours,1.0,1.0,f,0.0,t,t
197286,2010-08-10,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
199392,2010-08-12,"New York, New York, United States",within a few hours,1.0,0.56,f,1.0,t,t
202285,2010-08-15,"New York, New York, United States",within an hour,1.0,0.88,f,1.0,t,t
204539,2010-08-17,"New York, New York, United States",within a few hours,0.9,0.33,f,5.0,t,t
206115,2010-08-19,"Queens, New York, United States",within an hour,1.0,0.89,t,0.0,t,f
208565,2010-08-21,"New York, New York, United States",within an hour,1.0,0.96,f,2.0,t,t
210294,2010-08-23,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,f
210746,2010-08-23,"New York, New York, United States",within an hour,1.0,1.0,f,3.0,t,t
211877,2010-08-24,"New York, New York, United States",within an hour,1.0,1.0,t,2.0,t,t
213020,2010-08-25,"New York, New York, United States",within an hour,1.0,0.92,t,2.0,t,t
215764,2010-08-28,"New York, New York, United States",a few days or more,0.0,1.0,f,1.0,t,t
216191,2010-08-29,"New York, New York, United States",within a few hours,1.0,0.7,t,5.0,t,t
219078,2010-08-31,"Brooklyn, NY",within a day,0.5,0.0,f,0.0,t,t
219313,2010-08-31,"New York, New York, United States",within an hour,1.0,0.8,f,1.0,t,t
221873,2010-09-02,"New York, New York, United States",within an hour,1.0,0.96,t,2.0,t,t
226077,2010-09-06,"New York, New York, United States",within a day,0.88,0.74,f,3.0,t,t
235719,2010-09-15,"New York, New York, United States",within an hour,1.0,0.5,f,1.0,t,t
238113,2010-09-18,"New York, New York, United States",within a day,1.0,0.71,f,2.0,t,t
240048,2010-09-20,"New York, New York, United States",within a few hours,1.0,0.67,f,2.0,t,t
240471,2010-09-20,"New York, New York, United States",within a day,1.0,0.0,f,2.0,t,t
240878,2010-09-20,"New York, New York, United States",a few days or more,0.0,0.5,f,0.0,t,t
248490,2010-09-29,"New York, New York, United States",within a few hours,1.0,0.98,t,2.0,t,f
252121,2010-10-03,"New York, New York, United States",within a day,1.0,0.81,f,2.0,t,t
252361,2010-10-03,"New York, New York, United States",within an hour,1.0,0.96,t,2.0,t,t
254846,2010-10-06,"New York, New York, United States",within an hour,1.0,0.84,f,4.0,t,t
256161,2010-10-07,"New York, New York, United States",within a few hours,0.9,0.97,f,5.0,t,t
257306,2010-10-09,"New York, New York, United States",within a day,1.0,0.86,t,1.0,t,f
257315,2010-10-09,"Los Angeles, California, United States",within a few hours,1.0,0.0,f,1.0,t,t
258674,2010-10-11,"New York, New York, United States",within an hour,1.0,1.0,t,2.0,t,t
260537,2010-10-13,"New York, New York, United States",within an hour,1.0,0.96,t,4.0,t,t
262812,2010-10-15,"New York, New York, United States",within a few hours,1.0,0.83,f,1.0,t,t
263500,2010-10-16,"New York, New York, United States",within a few hours,1.0,0.81,f,2.0,t,t
263510,2010-10-16,"New York, New York, United States",within an hour,1.0,0.5,f,1.0,t,t
263882,2010-10-17,"New York, New York, United States",within an hour,1.0,0.83,t,3.0,t,t
265152,2010-10-18,"New York, New York, United States",within a day,1.0,0.0,f,3.0,t,t
267955,2010-10-21,"New York, New York, United States",within a day,1.0,1.0,t,1.0,t,t
268014,2010-10-21,"New York, New York, United States",within an hour,0.93,0.87,f,0.0,t,t
270404,2010-10-25,"New York, New York, United States",within an hour,1.0,0.33,t,1.0,t,t
271527,2010-10-26,"New York, New York, United States",within an hour,1.0,0.88,f,2.0,t,t
272006,2010-10-26,"New York, New York, United States",within an hour,0.99,0.99,t,13.0,t,f
274333,2010-10-29,"New York, New York, United States",within an hour,1.0,0.85,t,3.0,t,t
274557,2010-10-30,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
275578,2010-10-31,"New York, New York, United States",within an hour,1.0,0.86,t,1.0,t,t
276078,2010-11-01,"New York, New York, United States",within a few hours,1.0,0.92,f,1.0,t,t
276207,2010-11-01,"New York, New York, United States",within an hour,1.0,0.0,f,1.0,t,t
276291,2010-11-01,"New York, New York, United States",within an hour,1.0,0.98,f,2.0,t,t
277379,2010-11-03,"New York, New York, United States",within an hour,1.0,0.96,t,2.0,t,t
278393,2010-11-04,"New York, New York, United States",within a few hours,1.0,0.81,t,3.0,t,t
281229,2010-11-08,"New York, New York, United States",within an hour,1.0,0.92,t,2.0,t,t
282655,2010-11-09,"Brooklyn, New York, United States",within an hour,1.0,0.94,t,4.0,t,t
283944,2010-11-11,"New York, New York, United States",within an hour,1.0,0.97,t,2.0,t,t
287733,2010-11-15,"New Orleans, Louisiana, United States",within an hour,1.0,1.0,f,3.0,t,t
288711,2010-11-16,"Los Angeles, California, United States",within an hour,0.9,0.98,f,1.0,t,t
289135,2010-11-16,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,f
289653,2010-11-17,"Maroubra, New South Wales, Australia",within a day,1.0,0.36,f,1.0,t,t
290055,2010-11-17,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
290662,2010-11-18,"New York, New York, United States",within an hour,1.0,0.71,t,2.0,t,f
290845,2010-11-18,US,within a day,0.67,0.6,f,3.0,t,t
290908,2010-11-18,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
292204,2010-11-19,"New York, New York, United States",within a few hours,1.0,0.83,t,3.0,t,t
292522,2010-11-19,"New York, New York, United States",within an hour,1.0,0.63,t,3.0,t,t
292630,2010-11-20,"New York, New York, United States",within an hour,1.0,1.0,t,2.0,t,t
294307,2010-11-21,"San Francisco, California, United States",within a day,0.5,0.92,t,1.0,t,t
295128,2010-11-22,"New York, New York, United States",within an hour,1.0,0.78,f,7.0,t,t
296491,2010-11-23,"Brooklyn, New York, United States",within an hour,1.0,0.92,t,2.0,t,f
297762,2010-11-24,"East Hampton, New York, United States",within a day,0.8,0.55,f,3.0,t,t
299090,2010-11-25,"New York, New York, United States",within an hour,0.93,0.75,t,2.0,t,t
299752,2010-11-26,"New York, New York, United States",within a day,1.0,1.0,f,1.0,t,t
301836,2010-11-27,"Staten Island, New York, United States",within a day,0.75,0.6,t,3.0,t,t
302544,2010-11-28,"New York, New York, United States",a few days or more,0.0,0.0,f,1.0,t,f
302885,2010-11-28,"New York, New York, United States",within a few hours,1.0,0.6,f,3.0,t,t
303926,2010-11-29,"New York, New York, United States",within a few hours,0.75,0.5,f,2.0,t,t
303939,2010-11-29,"New York, New York, United States",a few days or more,0.08,0.89,f,5.0,t,t
306739,2010-12-01,"Brooklyn, New York, United States",within a few hours,1.0,0.78,t,3.0,t,t
308930,2010-12-03,"Brooklyn, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
309329,2010-12-04,"New York, New York, United States",within a day,1.0,0.64,t,1.0,t,t
310296,2010-12-05,"Brooklyn, New York, United States",within a day,1.0,0.71,f,2.0,t,t
310670,2010-12-05,"New York, New York, United States",within a few hours,1.0,0.88,t,11.0,t,f
312288,2010-12-07,"New York, New York, United States",a few days or more,0.2,0.33,f,1.0,t,t
313300,2010-12-08,"New York, New York, United States",within a day,1.0,1.0,f,0.0,t,t
314941,2010-12-10,"New York, New York, United States",within an hour,1.0,0.74,t,3.0,t,t
315401,2010-12-10,"New York, New York, United States",within an hour,1.0,0.91,t,4.0,t,t
315449,2010-12-10,"Berkeley, California, United States",within a few hours,0.67,1.0,f,0.0,t,f
315824,2010-12-11,"New York, New York, United States",within an hour,1.0,0.96,t,0.0,t,t
316474,2010-12-12,"New York, New York, United States",within a few hours,0.9,0.68,f,1.0,t,t
318729,2010-12-14,"New York, New York, United States",within a day,1.0,0.0,f,1.0,t,t
318770,2010-12-14,"New York, New York, United States",within an hour,0.88,0.86,f,0.0,t,t
320284,2010-12-16,"New York, New York, United States",within a few hours,1.0,0.77,f,0.0,t,t
320538,2010-12-16,"New York, New York, United States",within a day,1.0,0.88,f,1.0,t,t
320761,2010-12-16,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
323537,2010-12-20,"New York, New York, United States",a few days or more,0.0,0.5,f,2.0,t,f
324628,2010-12-21,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
326465,2010-12-24,"New York, New York, United States",a few days or more,0.2,0.8,f,1.0,t,t
327033,2010-12-25,"New York, New York, United States",within an hour,1.0,0.5,f,5.0,t,f
327489,2010-12-26,"Brooklyn, New York, United States",within a day,1.0,0.6,f,1.0,t,t
329436,2010-12-28,"Brooklyn, New York, United States",within an hour,1.0,0.86,t,2.0,t,t
330347,2010-12-29,"New York, New York, United States",within a few hours,1.0,0.88,t,1.0,t,t
331328,2010-12-31,"New York, New York, United States",within a day,1.0,0.8,f,3.0,t,t
331579,2010-12-31,"New York, New York, United States",within an hour,1.0,0.63,f,3.0,t,f
333712,2011-01-03,"New York, New York, United States",within a day,1.0,0.67,f,1.0,t,t
335046,2011-01-04,"New York, New York, United States",within a few hours,1.0,0.33,t,4.0,t,t
335272,2011-01-04,"Boston, Massachusetts, United States",within a day,1.0,0.5,f,1.0,t,t
342486,2011-01-10,"New York, New York, United States",within a day,1.0,0.75,f,0.0,t,t
344035,2011-01-11,"New York, New York, United States",within a day,0.8,0.89,t,14.0,t,t
344583,2011-01-12,"New York, New York, United States",within an hour,1.0,0.93,t,1.0,t,t
346356,2011-01-13,"New York, New York, United States",within a day,0.88,0.85,f,2.0,t,f
347642,2011-01-14,"Homestead, Florida, United States",within an hour,0.9,0.96,f,5.0,t,t
349772,2011-01-16,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
351465,2011-01-17,"New York, New York, United States",within a few hours,1.0,0.78,t,2.0,t,f
352168,2011-01-18,"New York, New York, United States",within a day,1.0,0.67,f,2.0,t,t
354887,2011-01-20,"Brooklyn, New York, United States",within an hour,1.0,0.92,t,5.0,t,t
355548,2011-01-20,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
357117,2011-01-22,"New York, New York, United States",within a day,0.8,0.8,f,1.0,t,t
361008,2011-01-24,"New York, New York, United States",within an hour,1.0,0.75,f,0.0,t,t
361989,2011-01-25,"Brooklyn, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
363834,2011-01-26,"New York, New York, United States",within a day,0.8,0.8,t,1.0,t,t
364955,2011-01-27,"New York, New York, United States",within a few hours,1.0,0.5,t,2.0,t,t
369015,2011-01-30,"New Jersey, United States",within an hour,1.0,0.8,f,2.0,t,t
374503,2011-02-02,"Brooklyn, New York, United States",within an hour,1.0,0.93,t,2.0,t,t
377287,2011-02-04,"Bergen, Hordaland, Norway",within a few hours,1.0,1.0,f,1.0,t,t
380838,2011-02-07,"New York, New York, United States",within a few hours,0.83,0.61,f,1.0,t,t
384430,2011-02-09,"New York, New York, United States",within an hour,1.0,1.0,f,3.0,t,f
389899,2011-02-13,"New York, New York, United States",within an hour,0.9,1.0,f,3.0,t,t
389924,2011-02-13,"New York, New York, United States",within a day,0.8,0.46,f,2.0,t,t
392929,2011-02-15,"New York, New York, United States",within a day,1.0,0.46,t,1.0,t,t
393107,2011-02-15,"Brooklyn, New York, United States",within an hour,1.0,0.5,f,1.0,t,t
393473,2011-02-15,"New York, New York, United States",within an hour,1.0,0.91,t,1.0,t,t
397386,2011-02-17,"New York, New York, United States",within an hour,0.93,0.74,f,1.0,t,t
401696,2011-02-20,"New York, New York, United States",within a few hours,1.0,0.81,t,1.0,t,t
405090,2011-02-22,"New York, New York, United States",within a day,1.0,1.0,f,1.0,t,t
405908,2011-02-23,"New York, New York, United States",within an hour,1.0,0.91,t,1.0,t,t
407078,2011-02-23,"New York, New York, United States",a few days or more,0.0,0.55,f,3.0,t,t
408485,2011-02-24,"New York, New York, United States",within an hour,1.0,0.94,t,2.0,t,t
409766,2011-02-25,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
411697,2011-02-26,"New York, New York, United States",within a few hours,1.0,0.92,t,1.0,t,t
417504,2011-03-01,"Brooklyn, New York, United States",within an hour,1.0,0.97,t,27.0,t,t
427019,2011-03-07,"New York, New York, United States",within a day,1.0,0.5,f,1.0,t,t
428210,2011-03-07,"New York, New York, United States",within a day,0.6,0.94,f,1.0,t,t
432107,2011-03-09,"New York, New York, United States",within a few hours,0.83,0.62,t,1.0,t,t
433917,2011-03-10,"New York, New York, United States",within a day,0.91,0.5,f,1.0,t,t
